model_type,vectorizer_num_features,semi_supervised,samples,dummy_train_accuracy,dummy_test_accuracy,train_accuracy,test_accuracy,run_time
SGDClassifier,100,False,9000,0.39495611598711255,0.39307387862796833,0.9248972336407066,0.9156992084432718,0.122592
SGDClassifier,100,False,10000,0.39676032396760325,0.39313984168865435,0.9256074392560744,0.916754617414248,0.127998
SGDClassifier,100,False,11000,0.4018725570402691,0.3939973614775726,0.9239160076356695,0.9151055408970976,0.133298
SGDClassifier,100,False,12000,0.3988000999916674,0.3954485488126649,0.9245896175318723,0.9161609498680738,0.136164
SGDClassifier,100,False,13000,0.4001230674563495,0.39478891820580475,0.9258518575494192,0.916754617414248,0.136797
SGDClassifier,100,False,14000,0.3962574101849868,0.3946569920844327,0.9252196271694879,0.9150395778364117,0.130036
SGDClassifier,100,False,15000,0.39730684621025264,0.3944591029023747,0.9260715952269849,0.91688654353562,0.142069
SGDClassifier,100,False,16000,0.4005999625023436,0.3940633245382586,0.9280044997187675,0.9189973614775726,0.131239
SGDClassifier,100,False,17000,0.3974472089877066,0.3939973614775726,0.925298511852244,0.9174802110817942,0.127128
SGDClassifier,100,False,18000,0.3992555969112827,0.3961741424802111,0.9258930059441142,0.9182058047493403,0.14087
SGDClassifier,100,False,19000,0.4007157518025367,0.3955145118733509,0.9262670385769171,0.9183377308707124,0.141988
SGDClassifier,100,False,20000,0.4011299435028249,0.39630606860158313,0.9286035698215089,0.9174802110817942,0.143905
SGDClassifier,100,False,21000,0.399742869387172,0.39683377308707124,0.926241607542498,0.9172163588390502,0.131561
SGDClassifier,100,False,22000,0.4057088314167538,0.3970316622691293,0.9271851279487296,0.9181398416886544,0.140018
SGDClassifier,100,False,23000,0.402373809834355,0.39696569920844327,0.9272205556280162,0.9193931398416887,0.139193
SGDClassifier,100,False,24000,0.40523311528686307,0.3970316622691293,0.9260030832048665,0.9181398416886544,0.140319
SGDClassifier,100,False,25000,0.4080236790528379,0.3971635883905013,0.9257629694812207,0.9151715039577837,0.137783
SGDClassifier,100,False,26000,0.4031383408330449,0.39729551451187334,0.9265412868735818,0.9187994722955145,0.139378
SGDClassifier,100,False,27000,0.40628124884263545,0.39696569920844327,0.9267434539461501,0.9176121372031663,0.161715
SGDClassifier,100,False,28000,0.40155708724688405,0.3971635883905013,0.9256455126602622,0.9161609498680738,0.145876
SGDClassifier,100,False,29000,0.4004344677769732,0.39742744063324537,0.9246232888521085,0.916622691292876,0.139262
SGDClassifier,100,False,30000,0.40465317822739244,0.39729551451187334,0.9251024965834472,0.9171503957783641,0.135439
SGDClassifier,100,False,31000,0.4048579078094255,0.3970976253298153,0.9266152704751459,0.9178100263852242,0.145433
